Ponto / Grupo,Data,Hora,Ativa C (kWh),Qualidade,Origem
RJAQTEENTR101 (L),12/04/2024,23,"24,048",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),12/04/2024,24,"25,094",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),13/04/2024,1,"23,483",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),13/04/2024,2,"22,515",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),13/04/2024,3,"22,176",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),13/04/2024,4,"19,686",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),13/04/2024,5,"156,305",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),13/04/2024,6,"422,204",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),13/04/2024,7,"540,926",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),13/04/2024,8,"583,398",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),13/04/2024,9,"639,135",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),13/04/2024,10,"692,116",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),13/04/2024,11,"665,680",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),13/04/2024,12,"663,846",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),13/04/2024,13,"614,236",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),13/04/2024,14,"603,058",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),13/04/2024,15,"513,960",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),13/04/2024,16,"74,545",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),13/04/2024,17,"22,525",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),13/04/2024,18,"18,866",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),13/04/2024,19,"21,093",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),13/04/2024,20,"19,453",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),13/04/2024,21,"20,625",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),13/04/2024,22,"17,911",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),13/04/2024,23,"17,029",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),13/04/2024,24,"16,427",Completo,COLETA DIÁRIA
